show_id,type,title,country,date_added,release_year,rating,listed_in
s1,Movie,Dick Johnson Is Dead,United States,"September 25, 2021",2020,PG-13,Documentaries
s2,TV Show,Blood & Water,South Africa,"September 24, 2021",2021,TV-MA,"International TV Shows, TV Dramas, TV Mysteries"
s3,TV Show,Ganglands,,"September 24, 2021",2021,TV-MA,"Crime TV Shows, International TV Shows, TV Action & Adventure"
s4,TV Show,Jailbirds New Orleans,,"September 24, 2021",2021,TV-MA,"Docuseries, Reality TV"
s5,TV Show,Kota Factory,India,"September 24, 2021",2021,TV-MA,"International TV Shows, Romantic TV Shows, TV Comedies"
s6,TV Show,Midnight Mass,,"September 24, 2021",2021,TV-MA,"TV Dramas, TV Horror, TV Mysteries"
s7,Movie,My Little Pony: A New Generation,,"September 24, 2021",2021,PG,Children & Family Movies
s8,Movie,Sankofa,"United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia","September 24, 2021",1993,TV-MA,"Dramas, Independent Movies, International Movies"
s9,TV Show,The Great British Baking Show,United Kingdom,"September 24, 2021",2021,TV-14,"British TV Shows, Reality TV"
s10,Movie,The Starling,United States,"September 24, 2021",2021,PG-13,"Comedies, Dramas"
s11,TV Show,"Vendetta: Truth, Lies and The Mafia",,"September 24, 2021",2021,TV-MA,"Crime TV Shows, Docuseries, International TV Shows"
s12,TV Show,Bangkok Breaking,,"September 23, 2021",2021,TV-MA,"Crime TV Shows, International TV Shows, TV Action & Adventure"
s13,Movie,Je Suis Karl,"Germany, Czech Republic","September 23, 2021",2021,TV-MA,"Dramas, International Movies"
s14,Movie,Confessions of an Invisible Girl,,"September 22, 2021",2021,TV-PG,"Children & Family Movies, Comedies"
s15,TV Show,Crime Stories: India Detectives,,"September 22, 2021",2021,TV-MA,"British TV Shows, Crime TV Shows, Docuseries"
s16,TV Show,Dear White People,United States,"September 22, 2021",2021,TV-MA,"TV Comedies, TV Dramas"
s17,Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,,"September 22, 2021",2020,TV-MA,"Documentaries, International Movies"
s18,TV Show,Falsa identidad,Mexico,"September 22, 2021",2020,TV-MA,"Crime TV Shows, Spanish-Language TV Shows, TV Dramas"
s19,Movie,Intrusion,,"September 22, 2021",2021,TV-14,Thrillers
s20,TV Show,Jaguar,,"September 22, 2021",2021,TV-MA,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure"
s21,TV Show,Monsters Inside: The 24 Faces of Billy Milligan,,"September 22, 2021",2021,TV-14,"Crime TV Shows, Docuseries, International TV Shows"
s22,TV Show,Resurrection: Ertugrul,Turkey,"September 22, 2021",2018,TV-14,"International TV Shows, TV Action & Adventure, TV Dramas"
s23,Movie,Avvai Shanmughi,,"September 21, 2021",1996,TV-PG,"Comedies, International Movies"
s24,Movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,,"September 21, 2021",2021,TV-Y,Children & Family Movies
s25,Movie,Jeans,India,"September 21, 2021",1998,TV-14,"Comedies, International Movies, Romantic Movies"
s26,TV Show,Love on the Spectrum,Australia,"September 21, 2021",2021,TV-14,"Docuseries, International TV Shows, Reality TV"
s27,Movie,Minsara Kanavu,,"September 21, 2021",1997,TV-PG,"Comedies, International Movies, Music & Musicals"
s28,Movie,Grown Ups,United States,"September 20, 2021",2010,PG-13,Comedies
s29,Movie,Dark Skies,United States,"September 19, 2021",2013,PG-13,"Horror Movies, Sci-Fi & Fantasy"
s30,Movie,Paranoia,"United States, India, France","September 19, 2021",2013,PG-13,Thrillers
s31,Movie,Ankahi Kahaniya,,"September 17, 2021",2021,TV-14,"Dramas, Independent Movies, International Movies"
s32,TV Show,Chicago Party Aunt,,"September 17, 2021",2021,TV-MA,TV Comedies
s33,TV Show,Sex Education,United Kingdom,"September 17, 2021",2020,TV-MA,"British TV Shows, International TV Shows, TV Comedies"
s34,TV Show,Squid Game,,"September 17, 2021",2021,TV-MA,"International TV Shows, TV Dramas, TV Thrillers"
s35,TV Show,Tayo and Little Wizards,,"September 17, 2021",2020,TV-Y7,Kids' TV
s36,Movie,The Father Who Moves Mountains,,"September 17, 2021",2021,TV-MA,"Dramas, International Movies, Thrillers"
s37,Movie,The Stronghold,,"September 17, 2021",2021,TV-MA,"Action & Adventure, Dramas, International Movies"
s38,TV Show,Angry Birds,Finland,"September 16, 2021",2018,TV-Y7,"Kids' TV, TV Comedies"
s39,Movie,Birth of the Dragon,"China, Canada, United States","September 16, 2021",2017,PG-13,"Action & Adventure, Dramas"
s40,TV Show,Chhota Bheem,India,"September 16, 2021",2021,TV-Y7,Kids' TV
s41,TV Show,He-Man and the Masters of the Universe,United States,"September 16, 2021",2021,TV-Y7,"Kids' TV, TV Sci-Fi & Fantasy"
s42,Movie,Jaws,United States,"September 16, 2021",1975,PG,"Action & Adventure, Classic Movies, Dramas"
s43,Movie,Jaws 2,United States,"September 16, 2021",1978,PG,"Dramas, Horror Movies, Thrillers"
s44,Movie,Jaws 3,United States,"September 16, 2021",1983,PG,"Action & Adventure, Horror Movies, Thrillers"
s45,Movie,Jaws: The Revenge,United States,"September 16, 2021",1987,PG-13,"Action & Adventure, Horror Movies, Thrillers"
s46,Movie,My Heroes Were Cowboys,,"September 16, 2021",2021,PG,Documentaries
s47,Movie,Safe House,"South Africa, United States, Japan","September 16, 2021",2012,R,Action & Adventure
s48,TV Show,The Smart Money Woman,,"September 16, 2021",2020,TV-MA,"International TV Shows, Romantic TV Shows, TV Comedies"
s49,Movie,Training Day,United States,"September 16, 2021",2001,R,"Dramas, Thrillers"
s50,TV Show,Castle and Castle,Nigeria,"September 15, 2021",2021,TV-MA,"International TV Shows, TV Dramas"
s51,TV Show,Dharmakshetra,India,"September 15, 2021",2014,TV-PG,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy"
s52,Movie,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Japan,"September 15, 2021",2002,TV-14,"Action & Adventure, Anime Features, International Movies"
s53,Movie,InuYasha the Movie 3: Swords of an Honorable Ruler,Japan,"September 15, 2021",2003,TV-14,"Action & Adventure, Anime Features, International Movies"
s54,Movie,InuYasha the Movie 4: Fire on the Mystic Island,Japan,"September 15, 2021",2004,TV-PG,"Action & Adventure, Anime Features, International Movies"
s55,Movie,InuYasha the Movie: Affections Touching Across Time,Japan,"September 15, 2021",2001,TV-PG,"Action & Adventure, Anime Features, International Movies"
s56,TV Show,Nailed It,United States,"September 15, 2021",2021,TV-PG,Reality TV
s57,Movie,Naruto Shippuden the Movie: Blood Prison,Japan,"September 15, 2021",2011,TV-14,"Action & Adventure, Anime Features, International Movies"
s58,Movie,Naruto Shippûden the Movie: Bonds,Japan,"September 15, 2021",2008,TV-PG,"Action & Adventure, Anime Features, International Movies"
s59,Movie,Naruto Shippûden the Movie: The Will of Fire,Japan,"September 15, 2021",2009,TV-PG,"Action & Adventure, Anime Features, International Movies"
s60,Movie,Naruto Shippuden: The Movie,Japan,"September 15, 2021",2007,TV-PG,"Action & Adventure, Anime Features, International Movies"
s61,Movie,Naruto Shippuden: The Movie: The Lost Tower,Japan,"September 15, 2021",2010,TV-14,"Action & Adventure, Anime Features, International Movies"
s62,Movie,Naruto the Movie 2: Legend of the Stone of Gelel,Japan,"September 15, 2021",2005,TV-PG,"Action & Adventure, Anime Features, International Movies"
s63,Movie,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Japan,"September 15, 2021",2006,TV-PG,"Action & Adventure, Anime Features, International Movies"
s64,Movie,Naruto the Movie: Ninja Clash in the Land of Snow,Japan,"September 15, 2021",2004,TV-PG,"Action & Adventure, Anime Features, International Movies"
s65,Movie,Nightbooks,,"September 15, 2021",2021,TV-PG,Children & Family Movies
s66,TV Show,Numberblocks,United Kingdom,"September 15, 2021",2021,TV-Y,Kids' TV
s67,TV Show,Raja Rasoi Aur Anya Kahaniyan,India,"September 15, 2021",2014,TV-G,"Docuseries, International TV Shows"
s68,TV Show,Saved by the Bell,United States,"September 15, 2021",1994,TV-PG,"Kids' TV, TV Comedies"
s69,Movie,Schumacher,,"September 15, 2021",2021,TV-14,"Documentaries, International Movies, Sports Movies"
s70,TV Show,Stories by Rabindranath Tagore,India,"September 15, 2021",2015,TV-PG,"International TV Shows, TV Dramas"
s71,TV Show,Too Hot To Handle: Latino,,"September 15, 2021",2021,TV-MA,"International TV Shows, Reality TV, Romantic TV Shows"
s72,Movie,A StoryBots Space Adventure,,"September 14, 2021",2021,TV-Y,Children & Family Movies
s73,TV Show,Jack Whitehall: Travels with My Father,United Kingdom,"September 14, 2021",2021,TV-MA,"British TV Shows, Docuseries, International TV Shows"
s74,Movie,King of Boys,Nigeria,"September 14, 2021",2018,TV-MA,"Dramas, International Movies"
s75,TV Show,The World's Most Amazing Vacation Rentals,,"September 14, 2021",2021,TV-PG,Reality TV
s76,Movie,You vs. Wild: Out Cold,,"September 14, 2021",2021,TV-G,Children & Family Movies
s77,TV Show,Yowamushi Pedal,Japan,"September 14, 2021",2013,TV-14,"Anime Series, International TV Shows"
s78,Movie,Little Singham - Black Shadow,,"September 11, 2021",2021,TV-Y7,"Children & Family Movies, Comedies"
s79,Movie,Tughlaq Durbar,,"September 11, 2021",2020,TV-14,"Comedies, Dramas, International Movies"
s80,Movie,Tughlaq Durbar (Telugu),,"September 11, 2021",2021,TV-14,"Comedies, Dramas, International Movies"
